	GWC2	ORAL_P_A_F_Bin_00012	ORAL_P_A_F_Bin_00021	ORAL_P_A_F_Bin_00032	ORAL_P_A_F_Bin_00045	ORAL_P_A_F_MAG_00015	ORAL_P_A_M_Bin_00015	ORAL_P_A_M_Bin_00020	ORAL_P_B_F_Bin_00037	ORAL_P_B_F_MAG_00010	ORAL_P_B_F_MAG_00020	ORAL_P_B_F_MAG_00026	ORAL_P_B_F_MAG_00030	ORAL_P_B_M_Bin_00030	ORAL_P_B_M_MAG_00009	ORAL_P_B_M_MAG_00010	ORAL_P_B_M_MAG_00013	ORAL_P_C_F_Bin_00020	ORAL_P_C_F_Bin_00028	ORAL_P_C_F_MAG_00002	ORAL_P_C_F_MAG_00004	ORAL_P_C_M_Bin_00016	ORAL_P_C_M_Bin_00022	ORAL_P_C_M_Bin_00040	ORAL_P_C_M_MAG_00010	ORAL_P_C_M_MAG_00011	ORAL_P_C_M_MAG_00013	ORAL_P_D_F_Bin_00011	ORAL_T_A_F_MAG_00011	ORAL_T_A_F_MAG_00015	ORAL_T_A_F_MAG_00016	ORAL_T_B_F_Bin_00010	ORAL_T_B_F_Bin_00011	ORAL_T_B_F_Bin_00014	ORAL_T_B_M_MAG_00011	ORAL_T_B_M_MAG_00012	ORAL_T_C_F_MAG_00008	ORAL_T_C_M_Bin_00011	ORAL_T_C_M_Bin_00012	ORAL_T_C_M_Bin_00015	ORAL_T_C_M_Bin_00022	ORAL_T_C_M_MAG_00008	ORAL_T_D_F_MAG_00008	ORAL_T_D_F_MAG_00010	RAAC3	S_aal	TM7_MAG_III_A_1	TM7_MAG_III_A_2	TM7_MAG_III_B_1	TM7_MAG_III_C_1	TM7_S1_	TM7_S2_	TM7_S7_	TM7c	TM7x
Adenine-specific DNA glycosylase, acts on AG and A-oxoG pairs	1	0	0	1	1	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
Phage-related protein, tail component	0	0	2	0	0	3	0	0	0	0	4	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Selenocysteine lyase/Cysteine desulfurase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	2	1	1	0	3	2	2	1	2	2	0	0	2	2	0	0	0	0	2	0	0	1	0	0	0
Predicted Fe2+/Mn2+ transporter, VIT1/CCC1 family	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0
Acid phosphatase family membrane protein YuiD	1	0	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	2	1
Malate/lactate dehydrogenase	0	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
Uncharacterized membrane protein YraQ, UPF0718 family	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1
Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family	1	2	4	0	1	2	0	3	2	2	2	1	2	0	4	1	1	2	0	1	3	2	0	2	1	0	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	2	1	0	1	1	7	0	0	1	1	1	6	1	2
Uncharacterized protein YrrD, contains PRC-barrel domain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1
Beta-lactamase class A	1	0	0	1	1	2	2	0	0	2	1	1	0	1	1	1	2	0	1	1	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	2	0	1	1	0	1	4	0
Phosphoketolase	0	0	0	0	1	2	0	0	0	0	1	1	0	0	2	1	1	0	0	0	0	1	0	0	0	0	1	0	2	2	1	2	3	1	2	2	2	1	2	3	1	0	3	2	1	1	1	2	3	2	0	0	2	0	0
SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase)	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1
CRISPR/Cas system Type II  associated protein, contains McrA/HNH and RuvC-like nuclease domains	0	1	0	1	0	1	0	0	1	2	0	0	3	2	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	2	0
Prepilin signal peptidase PulO (type II secretory pathway) or related peptidase	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	2	1	0	1	1	1	1	1	1	1	1	1	1
Uncharacterized membrane protein YjjP, DUF1212 family	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	2	1	0	1	0	1
Cell pole-organizing protein PopZ	0	0	2	0	0	2	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0
Adenylate cyclase class IV, CYTH domain (includes archaeal enzymes of unknown function)	1	3	0	1	0	2	1	0	1	2	3	0	3	1	4	0	2	2	1	0	1	0	1	1	1	1	0	3	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	0	1	3	0	1	0	1	1	2	0	2
DNA polymerase III, delta subunit	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	2	0	1	1	1	1	0	0	0	2	0	0	1	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	2	0	1	1	0	1
NADP-dependent 3-hydroxy acid dehydrogenase YdfG	0	0	1	1	0	0	1	1	1	0	0	0	2	1	0	0	0	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
DNA-binding transcriptional regulator, FrmR family	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	1	0	0	0
Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase or related enzyme	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0
Glycerol uptake facilitator and related aquaporins (Major Intrinsic Protein Family)	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	2	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	3	1	1	0	0	1
Phosphoglycerol transferase MdoB or a related enzyme of AlkP superfamily	0	0	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Lysophospholipase L1 or related esterase	0	0	0	1	1	1	1	0	0	0	1	0	4	1	2	1	3	0	1	0	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0
ABC-type transport system, periplasmic component	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	0	1	1	2	1
Chromosome segregation ATPase	0	1	1	1	0	5	1	1	1	1	5	0	1	1	2	0	4	2	1	0	1	1	1	1	0	0	1	6	1	1	2	3	1	1	1	1	1	0	0	1	2	1	1	1	0	1	4	3	2	0	2	1	2	0	2
Type I restriction-modification system, DNA methylase subunit	0	1	0	0	0	1	2	1	4	1	1	1	0	1	0	1	0	1	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	2
Cell division protein FtsB	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	2	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1
Aryl-phospho-beta-D-glucosidase BglC, GH1 family	0	1	0	1	0	0	1	1	1	1	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0
Glucoamylase (glucan-1,4-alpha-glucosidase), GH15 family	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1	1	2	0	0	0	1	0	0
Recombinational DNA repair ATPase RecF	1	1	1	1	2	2	2	1	2	3	1	1	1	1	1	1	1	0	1	1	2	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1
Hemolysin or related protein, contains CBS domains	0	1	2	2	1	1	2	2	2	1	1	1	3	2	2	1	1	2	2	0	1	2	1	2	0	0	2	2	1	1	0	0	1	0	1	1	1	0	1	1	0	1	1	2	0	2	2	1	0	1	0	1	2	0	2
Organic radical activating enzyme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Acetate kinase	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	2	0	1	1	1	0	1	1	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0
Uncharacterized membrane protein YcgQ,  UPF0703/DUF1980 family	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1
Lipid II:glycine glycyltransferase (Peptidoglycan interpeptide bridge formation enzyme)	2	0	1	0	3	2	0	1	1	1	2	2	1	0	2	2	2	1	0	1	1	2	1	1	0	2	2	2	2	1	2	2	1	1	2	1	2	0	2	1	3	1	2	1	2	3	2	2	3	2	0	0	3	0	1
Uncharacterized conserved protein, contains LGFP repeats	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	3	0	0	1	0	1	1	1	2	0	1	1	0	2	1	2	0	0	0	0	0	0	0	0	1	4	1
Mannose-6-phosphate isomerase, cupin superfamily	1	1	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	1	2	3	1	2	2	1	1	0	1	1	3	1	1	3	4	2	0	1	2	2	1	1	1	0	0	0	3	1	2	0	0	1	0	3	2	2	0	3	2	0	1	3	2	0	0	3	0	0	1	1	2	4	0	0
Phosphotransacetylase	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	1	0	1	1	1	0	1	1	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0
LD-carboxypeptidase LdcB, LAS superfamily	0	0	2	3	2	2	4	0	0	0	3	2	2	3	0	1	2	1	3	0	0	2	2	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	2	0	0	1	1
FoF1-type ATP synthase, delta subunit	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1
ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Preprotein translocase subunit SecE	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1
Multidrug efflux pump subunit AcrA (membrane-fusion protein)	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
CRISPR/Cas system-associated protein Cas2, endoribonuclease	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0
CRISPR/Cas system-associated endonuclease Cas1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	2	1	0
Uncharacterized conserved protein, contains ParB-like and HNH nuclease domains	0	0	1	0	0	2	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0
Gluconate kinase	0	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1
ASC-1 homology (ASCH) domain, predicted RNA-binding domain	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	1	0	1	1	0	4	2	0	1	1	1	1	0	1	0	1	1	1	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
Uncharacterized protein related to plant photosystem II stability/assembly factor	0	0	0	3	1	0	2	0	0	0	0	3	0	1	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
Serine/threonine protein kinase	0	3	0	1	0	1	1	1	1	4	1	0	0	1	0	0	1	1	1	0	3	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	2	1
Predicted kinase	0	1	0	0	0	1	0	0	0	1	1	0	0	1	2	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	1	0	1	2	0	0
Uncharacterized membrane protein YcaP, DUF421 family	0	0	1	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CYTH domain, found in class IV adenylate cyclase and various triphosphatases	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Phosphomannomutase	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	2	1	1	1	1	1	1	1	0	1	1	2	1	1	1	0	0	0	0	1	0	0	0	0	0	0
Lysophospholipase, alpha-beta hydrolase superfamily	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	1	0	0	2	0	2	2	2	0	2	2	0	0	3	2	0	1	0	0	0	0	0	0	0	0	1
Predicted spermidine synthase with an N-terminal membrane domain	0	0	0	0	1	0	0	1	1	0	0	3	0	0	1	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1
tRNA(Ile)-lysidine synthase TilS/MesJ	0	1	1	1	0	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	0	0	1	1	1
Cation transport ATPase	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
FAD/FMN-containing dehydrogenase	2	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	2	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	0	0	1
Surface antigen	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	2	1	1	1	1	1	1	2	0	1	1	0	0	1	2	1	0	0	0	1	0	0
3',5'-cyclic AMP phosphodiesterase CpdA	0	0	0	2	0	1	1	0	0	0	1	0	0	2	1	0	1	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0
Hypoxanthine-guanine phosphoribosyltransferase	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
N-Dimethylarginine dimethylaminohydrolase	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0
Rubrerythrin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Ribosomal protein S18 acetylase RimI and related acetyltransferases	0	0	2	0	0	3	0	2	0	0	4	1	2	0	0	2	3	1	0	0	0	0	3	2	2	0	0	2	1	2	0	0	1	0	1	2	1	0	1	2	0	0	1	2	0	0	0	1	0	0	1	1	0	0	1
Esterase/lipase	0	1	1	1	1	1	0	1	0	0	2	3	0	1	0	2	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1
ABC-type Mn2+/Zn2+ transport system, permease component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Uncharacterized PurR-regulated membrane protein YhhQ, DUF165 family	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	0	0	1	0	1	1	0	0
Uncharacterized protein, pyridoxamine 5'-phosphate oxidase (PNPOx-like) family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Amino acid transporter	0	1	0	0	1	2	0	1	1	2	2	1	1	0	0	2	2	1	0	0	2	0	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	2	2	0	0	0	0	1	2	3	1	0	0	2	1
Adenine specific DNA methylase Mod	0	1	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	3	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	2	2	0
Nucleotidyltransferase/DNA polymerase involved in DNA repair	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	1	1	0	0	1	1	1	1	0	1	0	1	0	0	0	0	0
Tyrosine-protein phosphatase YwqE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Sulfate permease or related transporter, MFS superfamily	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	1	0
Phosphoglycerate mutase (BPG-independent, AlkP superfamily)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Glycerophosphoryl diester phosphodiesterase	1	0	0	0	2	0	0	0	0	0	0	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	2	2	0	0	1	0	0
Mannose-1-phosphate guanylyltransferase	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0
Chromosome partitioning ATPase, Mrp family, contains Fe-S cluster	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	3	0	1	2	1	0	1	2	0	1	1	2	0	0	1	0	0	0	0	0	1	0	0
Site-specific DNA recombinase related to the DNA invertase Pin	1	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0	2	0	0	3	3	2	1	0	0	3	0	1	0	0	1	2	0	1	0	0	0	1	0	0	0	2	0	0	2	3	0	0	1	1	0	2	1	1	0
Predicted esterase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Predicted amidophosphoribosyltransferases	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	1
D-alanyl-D-alanine dipeptidase	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0
Muramoyltetrapeptide carboxypeptidase LdcA (peptidoglycan recycling)	1	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0
HD-GYP domain, c-di-GMP phosphodiesterase class II (or its inactivated variant)	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Prophage maintenance system killer protein	0	0	1	0	1	2	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0
Ubiquinone/menaquinone biosynthesis C-methylase UbiE	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	2	2	2	0	2	0	0	0	2	1	0	0	0	0	0	3	0	0	0	0	0
ABC-type Mn2+/Zn2+ transport system, ATPase component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Uncharacterized membrane protein HdeD, DUF308 family	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	4	2	2	0	1	1	0	0	3	2	0	0	0	0	0	1	0	0	0	0	0
Bacterial nucleoid DNA-binding protein	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Cell division septal protein FtsQ	0	1	1	0	2	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	1	2	0	1
Predicted lipid-binding transport protein, Tim44 family	0	0	1	1	0	1	1	0	0	0	1	0	1	1	2	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0
Type IV secretory pathway, VirB6 components	1	1	1	2	1	1	2	2	1	2	1	2	1	2	1	1	1	1	2	1	2	1	1	1	0	0	0	0	1	0	1	2	1	1	1	1	1	0	1	1	1	2	1	2	0	0	1	1	2	1	0	1	1	4	1
N-formylglutamate amidohydrolase	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
DNA polymerase III, delta prime subunit	0	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	2	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	0	0	1
Poly-gamma-glutamate biosynthesis protein CapA/YwtB (capsule formation), metallophosphatase superfamily	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	1	1	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0
